Sample,OD600,Time_s
P13.D10_noMC,0.6342,31699.776
P13.D10_noMC,0.6456,32632.176
P13.D10_noMC,0.6526,33564.472
P13.D10_noMC,0.6533,34496.941
P13.D10_noMC,0.6645,35429.418
P13.D10_noMC,0.6828,36361.963
P13.D10_noMC,0.6717,37294.415
P13.D10_noMC,0.6582,38226.892
P13.D10_noMC,0.6609,39159.364
P13.D10_noMC,0.6433,40091.808
P13.D10_noMC,0.6486,41024.249
P13.D10_noMC,0.65,41956.683
P13.D10_noMC,0.6621,42889.133
P13.D10_noMC,0.6759,43821.583
P13.D10_noMC,0.6793,44754.073
P13.D10_noMC,0.6817,45686.536
P13.D10_noMC,0.6816,46618.992
P13.D10_noMC,0.6847,47551.547
P13.D10_noMC,0.6834,48483.921
P13.D10_noMC,0.6844,49416.364
P13.D10_noMC,0.6861,50348.834
P13.D10_noMC,0.6905,51281.358
P13.D10_noMC,0.69,52213.762
P13.D10_noMC,0.6897,53146.312
P13.D10_noMC,0.7052,54078.693
P13.D10_noMC,0.6929,55011.144
P13.D10_noMC,0.6904,55943.634
P13.D10_noMC,0.6957,56876.186
P13.D10_noMC,0.6949,57808.624
P13.D10_noMC,0.7026,58741.026
P13.D10_noMC,0.6971,59673.323
P13.D10_noMC,0.6969,60605.752
P13.D10_noMC,0.6955,61538.212
P13.D10_noMC,0.6965,62470.619
P13.D10_noMC,0.693,63403.101
P13.D10_noMC,0.6937,64335.647
P13.D10_noMC,0.6981,65268.122
P13.D10_noMC,0.6956,66200.595
P13.D10_noMC,0.7016,67133.085
